CÓDIGO,DENOMINAÇÃO ATIVIDADE,ATÉ 200 M²,200M² A 400M²,ACIMA DE 400M²
45.20-0-01,Serviços de manutenção e reparação mecânica de veículos automotores,Alto,Alto,Alto
45.20-0-02,Serviços de lanternagem ou funilaria e pintura de veículos automotores,Alto,Alto,Alto
45.20-0-03,Serviços de manutenção e reparação elétrica de veículos automotores,Médio,Médio,Alto
45.20-0-04,Serviços de alinhamento e balanceamento de veículos automotores,Médio,Médio,Alto
45.20-0-05,"Serviços de lavagem, lubrificação e polimento de veículos automotores",Alto,Alto,Alto
45.20-0-06,Serviços de borracharia para veículos automotores,Alto,Alto,Alto
45.20-0-07,"Serviços de instalação, manutenção e reparação de acessórios para veículos automotores",Médio,Médio,Alto
45.20-0-08,Serviços de capotaria,Médio,Médio,Alto
45.30-7-01,Comércio por atacado de peças e acessórios novos para veículos automotores,Médio,Médio,Alto
45.30-7-02,Comércio por atacado de pneumáticos e câmaras-de-ar,Alto,Alto,Alto
45.30-7-03,Comércio a varejo de peças e acessórios novos para veículos automotores,Médio,Médio,Alto
45.30-7-04,Comércio a varejo de peças e acessórios usados para veículos automotores,Alto,Alto,Alto
45.30-7-05,Comércio a varejo de pneumáticos e câmaras-de-ar,Alto,Alto,Alto
45.30-7-06,Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores,Baixo,Médio,Alto
45.41-2-01,Comércio por atacado de motocicletas e motonetas,Médio,Médio,Alto
45.41-2-02,Comércio por atacado de peças e acessórios para motocicletas e motonetas,Médio,Médio,Alto
45.41-2-03,Comércio a varejo de motocicletas e motonetas novas,Médio,Médio,Alto
45.41-2-04,Comércio a varejo de motocicletas e motonetas usadas,Médio,Médio,Alto
45.41-2-06,Comércio a varejo de peças e acessórios novos para motocicletas e motonetas,Médio,Médio,Alto
45.41-2-07,Comércio a varejo de peças e acessórios usados para motocicletas e motonetas,Médio,Médio,Alto
45.42-1-01,"Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios",Baixo,Médio,Alto
45.42-1-02,Comércio sob consignação de motocicletas e motonetas,Médio,Médio,Alto
45.43-9-00,Manutenção e reparação de motocicletas e motonetas,Alto,Alto,Alto
46.11-7-00,Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos,Baixo,Médio,Alto
46.12-5-00,"Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos",Baixo,Médio,Alto
46.13-3-00,"Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens",Baixo,Médio,Alto
46.14-1-00,"Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves",Baixo,Médio,Alto
46.15-0-00,"Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico",Baixo,Médio,Alto
46.16-8-00,"Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem",Baixo,Médio,Alto
46.17-6-00,"Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo",Baixo,Médio,Alto
46.18-4-01,"Representantes comerciais e agentes do comércio de medicamentos, cosméticos e produtos de perfumaria",Baixo,Médio,Alto
46.18-4-02,Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares,Baixo,Médio,Alto
46.18-4-03,"Representantes comerciais e agentes do comércio de jornais, revistas e outras publicações",Baixo,Médio,Alto
46.18-4-99,Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente,Baixo,Médio,Alto
46.19-2-00,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado,Baixo,Médio,Alto
46.21-4-00,Comércio atacadista de café em grão,Baixo,Médio,Alto
46.22-2-00,Comércio atacadista de soja,Baixo,Médio,Alto
46.23-1-01,Comércio atacadista de animais vivos,Alto,Alto,Alto
46.23-1-02,"Comércio atacadista de couros, lãs, peles e outros subprodutos não comestíveis de origem animal",Médio,Médio,Alto
46.23-1-03,Comércio atacadista de algodão,Médio,Médio,Alto
46.23-1-04,Comércio atacadista de fumo em folha não beneficiado,Médio,Médio,Alto
46.23-1-05,Comércio atacadista de cacau,Baixo,Médio,Alto
46.23-1-06,"Comércio atacadista de sementes, flores, plantas e gramas",Médio,Médio,Alto
46.23-1-07,Comércio atacadista de sisal,Médio,Médio,Alto
46.23-1-08,Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada,Alto,Alto,Alto
46.23-1-09,Comércio atacadista de alimentos para animais,Médio,Médio,Alto
46.23-1-99,Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente,Médio,Médio,Alto
46.31-1-00,Comércio atacadista de leite e laticínios,Baixo,Médio,Alto
46.32-0-01,Comércio atacadista de cereais e leguminosas beneficiados,Baixo,Médio,Alto
46.32-0-02,"Comércio atacadista de farinhas, amidos e féculas",Baixo,Médio,Alto
46.32-0-03,"Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada",Baixo,Médio,Alto
46.33-8-01,"Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos",Baixo,Médio,Alto
46.33-8-02,Comércio atacadista de aves vivas e ovos,Alto,Alto,Alto
46.33-8-03,Comércio atacadista de coelhos e outros pequenos animais vivos para alimentação,Alto,Alto,Alto
46.34-6-01,Comércio atacadista de carnes bovinas e suínas e derivados,Médio,Alto,Alto
46.34-6-02,Comércio atacadista de aves abatidas e derivados,Médio,Alto,Alto
46.34-6-03,Comércio atacadista de pescados e frutos do mar,Médio,Alto,Alto
46.34-6-99,Comércio atacadista de carnes e derivados de outros animais,Médio,Alto,Alto
46.35-4-01,Comércio atacadista de água mineral,Baixo,Médio,Alto
46.35-4-02,"Comércio atacadista de cerveja, chope e refrigerante",Baixo,Médio,Alto
46.35-4-03,Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento associada,Baixo,Médio,Alto
46.35-4-99,Comércio atacadista de bebidas não especificadas anteriormente,Baixo,Médio,Alto
46.36-2-01,Comércio atacadista de fumo beneficiado,Médio,Médio,Alto
46.36-2-02,"Comércio atacadista de cigarros, cigarrilhas e charutos",Médio,Médio,Alto
46.37-1-01,"Comércio atacadista de café torrado, moído e solúvel",Baixo,Médio,Alto
46.37-1-02,Comércio atacadista de açúcar,Baixo,Médio,Alto
46.37-1-03,Comércio atacadista de óleos e gorduras,Baixo,Médio,Alto
46.37-1-04,"Comércio atacadista de pães, bolos, biscoitos e similares",Baixo,Médio,Alto
46.37-1-05,Comércio atacadista de massas alimentícias,Baixo,Médio,Alto
46.37-1-06,Comércio atacadista de sorvetes,Baixo,Médio,Alto
46.37-1-07,"Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes",Baixo,Médio,Alto
46.37-1-99,Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente,Baixo,Médio,Alto
46.39-7-01,Comércio atacadista de produtos alimentícios em geral,Baixo,Médio,Alto
46.39-7-02,"Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada",Baixo,Médio,Alto
46.41-9-01,Comércio atacadista de tecidos,Médio,Médio,Alto
46.41-9-02,"Comércio atacadista de artigos de cama, mesa e banho",Médio,Médio,Alto
46.41-9-03,Comércio atacadista de artigos de armarinho,Médio,Médio,Alto
46.42-7-01,"Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança",Médio,Médio,Alto
46.42-7-02,Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho,Médio,Médio,Alto
46.43-5-01,Comércio atacadista de calçados,Médio,Médio,Alto
46.43-5-02,"Comércio atacadista de bolsas, malas e artigos de viagem",Médio,Médio,Alto
46.44-3-01,Comércio atacadista de medicamentos e drogas de uso humano,Médio,Médio,Alto
46.44-3-02,Comércio atacadista de medicamentos e drogas de uso veterinário,Médio,Médio,Alto
46.45-1-01,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",Médio,Médio,Alto
46.45-1-02,Comércio atacadista de próteses e artigos de ortopedia,Médio,Médio,Alto
46.45-1-03,Comércio atacadista de produtos odontológicos,Médio,Médio,Alto
46.46-0-01,Comércio atacadista de cosméticos e produtos de perfumaria,Médio,Médio,Alto
46.46-0-02,Comércio atacadista de produtos de higiene pessoal,Médio,Médio,Alto
46.47-8-01,Comércio atacadista de artigos de escritório e de papelaria,Médio,Médio,Alto
46.47-8-02,"Comércio atacadista de livros, jornais e outras publicações",Médio,Médio,Alto
46.49-4-01,Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico,Médio,Médio,Alto
46.49-4-02,Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico,Médio,Médio,Alto
46.49-4-03,"Comércio atacadista de bicicletas, triciclos e outros veículos recreativos",Médio,Médio,Alto
46.49-4-04,Comércio atacadista de móveis e artigos de colchoaria,Médio,Médio,Alto
46.49-4-05,Comércio atacadista de artigos de tapeçaria; persianas e cortinas,Médio,Médio,Alto
46.49-4-06,"Comércio atacadista de lustres, luminárias e abajures",Médio,Médio,Alto
46.49-4-07,"Comércio atacadista de filmes, CDs, DVDs, fitas e discos",Médio,Médio,Alto
46.49-4-08,"Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar",Médio,Médio,Alto
46.49-4-09,"Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar, com atividade de fracionamento e acondicionamento associada",Médio,Médio,Alto
46.49-4-10,"Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas",Médio,Médio,Alto
46.49-4-99,Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente,Médio,Médio,Alto
46.51-6-01,Comércio atacadista de equipamentos de informática,Médio,Médio,Alto
46.51-6-02,Comércio atacadista de suprimentos para informática,Médio,Médio,Alto
46.52-4-00,Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação,Médio,Médio,Alto
46.61-3-00,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças",Médio,Médio,Alto
46.62-1-00,"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças",Médio,Médio,Alto
46.63-0-00,Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças,Médio,Médio,Alto
46.64-8-00,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças",Médio,Médio,Alto
46.65-6-00,Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças,Médio,Médio,Alto
46.69-9-01,Comércio atacadista de bombas e compressores; partes e peças,Médio,Médio,Alto
46.69-9-99,Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças,Médio,Médio,Alto
46.71-1-00,Comércio atacadista de madeira e produtos derivados,Médio,Médio,Alto
46.72-9-00,Comércio atacadista de ferragens e ferramentas,Médio,Médio,Alto
46.73-7-00,Comércio atacadista de material elétrico,Médio,Médio,Alto
46.74-5-00,Comércio atacadista de cimento,Alto,Alto,Alto
46.79-6-01,"Comércio atacadista de tintas, vernizes e similares",Alto,Alto,Alto
46.79-6-02,Comércio atacadista de mármores e granitos,Médio,Médio,Alto
46.79-6-03,"Comércio atacadista de vidros, espelhos e vitrais",Médio,Médio,Alto
46.79-6-04,Comércio atacadista especializado de materiais de construção não especificados anteriormente,Alto,Alto,Alto
46.79-6-99,Comércio atacadista de materiais de construção em geral,Alto,Alto,Alto
46.81-8-01,"Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador retalhista (TRR)",Alto,Alto,Alto
46.81-8-02,Comércio atacadista de combustíveis realizado por transportador retalhista (TRR),Alto,Alto,Alto
46.81-8-03,"Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante",Alto,Alto,Alto
46.81-8-04,Comércio atacadista de combustíveis de origem mineral em bruto,Alto,Alto,Alto
46.81-8-05,Comércio atacadista de lubrificantes,Alto,Alto,Alto
46.82-6-00,Comércio atacadista de gás liquefeito de petróleo (GLP),Alto,Alto,Alto
46.83-4-00,"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo",Alto,Alto,Alto
46.84-2-01,Comércio atacadista de resinas e elastômeros,Alto,Alto,Alto
46.84-2-02,Comércio atacadista de solventes,Alto,Alto,Alto
46.84-2-99,Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente,Alto,Alto,Alto
46.85-1-00,"Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção",Médio,Médio,Alto
46.86-9-01,Comércio atacadista de papel e papelão em bruto,Alto,Alto,Alto
46.86-9-02,Comércio atacadista de embalagens,Baixo,Médio,Alto
46.87-7-01,Comércio atacadista de resíduos de papel e papelão,Alto,Alto,Alto
46.87-7-02,"Comércio atacadista de resíduos e sucatas não metálicos, exceto de papel e papelão",Alto,Alto,Alto
46.87-7-03,Comércio atacadista de resíduos e sucatas metálicos,Alto,Alto,Alto
46.89-3-01,"Comércio atacadista de produtos da extração mineral, exceto combustíveis",Médio,Médio,Alto
46.89-3-02,Comércio atacadista de fios e fibras beneficiados,Médio,Médio,Alto
46.89-3-99,Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente,Médio,Médio,Alto
46.91-5-00,"Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios",Médio,Médio,Alto
46.92-3-00,"Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários",Médio,Médio,Alto
46.93-1-00,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",Médio,Médio,Alto
47.11-3-01,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",Médio,Médio,Alto
47.11-3-02,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",Médio,Médio,Alto
47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",Médio,Médio,Alto
47.13-0-02,"Lojas de variedades, exceto lojas de departamentos ou magazines",Médio,Médio,Alto
47.13-0-04,"Lojas de departamentos ou magazines, exceto lojas francas (Duty free)",Médio,Médio,Alto
47.13-0-05,"Lojas francas (Duty Free) de aeroportos, portos e em fronteiras terrestres",Médio,Médio,Alto
47.21-1-02,Padaria e confeitaria com predominância de revenda,Baixo,Médio,Alto
47.21-1-03,Comércio varejista de laticínios e frios,Baixo,Médio,Alto
47.21-1-04,"Comércio varejista de doces, balas, bombons e semelhantes",Baixo,Médio,Alto
47.22-9-01,Comércio varejista de carnes - açougues,Médio,Médio,Alto
47.22-9-02,Peixaria,Alto,Alto,Alto
47.23-7-00,Comércio varejista de bebidas,Alto,Alto,Alto
47.24-5-00,Comércio varejista de hortifrutigranjeiros,Baixo,Médio,Alto
47.29-6-01,Tabacaria,Médio,Médio,Alto
47.29-6-02,Comércio varejista de mercadorias em lojas de conveniência,Baixo,Médio,Alto
47.29-6-99,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,Médio,Médio,Alto
47.31-8-00,Comércio varejista de combustíveis para veículos automotores,Alto,Alto,Alto
47.32-6-00,Comércio varejista de lubrificantes,Alto,Alto,Alto
47.41-5-00,Comércio varejista de tintas e materiais para pintura,Alto,Alto,Alto
47.42-3-00,Comércio varejista de material elétrico,Médio,Médio,Alto
47.43-1-00,Comércio varejista de vidros,Médio,Médio,Alto
47.44-0-01,Comércio varejista de ferragens e ferramentas,Médio,Médio,Alto
47.44-0-02,Comércio varejista de madeira e artefatos,Médio,Médio,Alto
47.44-0-03,Comércio varejista de materiais hidráulicos,Médio,Médio,Alto
47.44-0-04,"Comércio varejista de cal, areia, pedra britada, tijolos e telhas",Médio,Médio,Alto
47.44-0-05,Comércio varejista de materiais de construção não especificados anteriormente,Médio,Médio,Alto
47.44-0-06,Comércio varejista de pedras para revestimento,Médio,Médio,Alto
47.44-0-99,Comércio varejista de materiais de construção em geral,Médio,Médio,Alto
47.51-2-01,Comércio varejista especializado de equipamentos e suprimentos de informática,Médio,Médio,Alto
47.51-2-02,Recarga de cartuchos para equipamentos de informática,Médio,Médio,Alto
47.52-1-00,Comércio varejista especializado de equipamentos de telefonia e comunicação,Médio,Médio,Alto
47.53-9-00,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,Médio,Médio,Alto
47.54-7-01,Comércio varejista de móveis,Médio,Médio,Alto
47.54-7-02,Comércio varejista de artigos de colchoaria,Médio,Médio,Alto
47.54-7-03,Comércio varejista de artigos de iluminação,Médio,Médio,Alto
47.55-5-01,Comércio varejista de tecidos,Médio,Médio,Alto
47.55-5-02,Comercio varejista de artigos de armarinho,Médio,Médio,Alto
47.55-5-03,"Comercio varejista de artigos de cama, mesa e banho",Médio,Médio,Alto
47.56-3-00,Comércio varejista especializado de instrumentos musicais e acessórios,Médio,Médio,Alto
47.57-1-00,"Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação",Médio,Médio,Alto
47.59-8-01,"Comércio varejista de artigos de tapeçaria, cortinas e persianas",Médio,Médio,Alto
47.59-8-99,Comércio varejista de outros artigos de uso doméstico não especificados anteriormente,Médio,Médio,Alto
47.61-0-01,Comércio varejista de livros,Médio,Médio,Alto
47.61-0-02,Comércio varejista de jornais e revistas,Médio,Médio,Alto
47.61-0-03,Comércio varejista de artigos de papelaria,Médio,Médio,Alto
47.62-8-00,"Comércio varejista de discos, CDs, DVDs e fitas",Médio,Médio,Alto
47.63-6-01,Comércio varejista de brinquedos e artigos recreativos,Médio,Médio,Alto
47.63-6-02,Comércio varejista de artigos esportivos,Médio,Médio,Alto
47.63-6-03,Comércio varejista de bicicletas e triciclos; peças e acessórios,Médio,Médio,Alto
47.63-6-04,"Comércio varejista de artigos de caça, pesca e camping",Médio,Médio,Alto
47.63-6-05,Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios,Médio,Médio,Alto
47.71-7-01,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",Baixo,Médio,Alto
47.71-7-02,"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas",Médio,Médio,Alto
47.71-7-03,Comércio varejista de produtos farmacêuticos homeopáticos,Médio,Médio,Alto
47.71-7-04,Comércio varejista de medicamentos veterinários,Médio,Médio,Alto
47.72-5-00,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",Baixo,Médio,Alto
47.73-3-00,Comércio varejista de artigos médicos e ortopédicos,Baixo,Médio,Alto
47.74-1-00,Comércio varejista de artigos de óptica,Baixo,Médio,Alto
47.81-4-00,Comércio varejista de artigos do vestuário e acessórios,Médio,Médio,Alto
47.82-2-01,Comércio varejista de calçados,Médio,Médio,Alto
47.82-2-02,Comércio varejista de artigos de viagem,Médio,Médio,Alto
47.83-1-01,Comércio varejista de artigos de joalheria,Médio,Médio,Alto
47.83-1-02,Comércio varejista de artigos de relojoaria,Médio,Médio,Alto
47.84-9-00,Comércio varejista de gás liqüefeito de petróleo (GLP),Alto,Alto,Alto
47.85-7-01,Comércio varejista de antiguidades,Médio,Médio,Alto
47.85-7-99,Comércio varejista de outros artigos usados,Médio,Médio,Alto
47.89-0-01,"Comércio varejista de suvenires, bijuterias e artesanatos",Médio,Médio,Alto
47.89-0-02,Comércio varejista de plantas e flores naturais,Médio,Médio,Alto
47.89-0-03,Comércio varejista de objetos de arte,Médio,Médio,Alto
47.89-0-04,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,Alto,Alto,Alto
47.89-0-05,Comércio varejista de produtos saneantes domissanitários,Médio,Médio,Alto
47.89-0-06,Comércio varejista de fogos de artifício e artigos pirotécnicos,Alto,Alto,Alto
47.89-0-07,Comércio varejista de equipamentos para escritório,Médio,Médio,Alto
47.89-0-08,Comércio varejista de artigos fotográficos e para filmagem,Médio,Médio,Alto
47.89-0-09,Comércio varejista de armas e munições,Alto,Alto,Alto
47.89-0-99,Comércio varejista de outros produtos não especificados anteriormente,Médio,Médio,Alto
49.11-6-00,Transporte ferroviário de carga,Alto,Alto,Alto
49.12-4-01,Transporte ferroviário de passageiros intermunicipal e interestadual,Alto,Alto,Alto
49.12-4-02,Transporte ferroviário de passageiros municipal e em região metropolitana,Alto,Alto,Alto
49.12-4-03,Transporte metroviário,Alto,Alto,Alto
49.21-3-01,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",Alto,Alto,Alto
49.21-3-02,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",Alto,Alto,Alto
49.22-1-01,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",Alto,Alto,Alto
49.22-1-02,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual",Alto,Alto,Alto
49.22-1-03,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, internacional",Alto,Alto,Alto
49.23-0-01,Serviço de táxi,Alto,Alto,Alto
49.23-0-02,Serviço de transporte de passageiros - locação de automóveis com motorista,Baixo,Médio,Alto
49.24-8-00,Transporte escolar,Alto,Alto,Alto
49.29-9-01,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal",Baixo,Médio,Alto
49.29-9-02,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",Baixo,Médio,Alto
49.29-9-03,"Organização de excursões em veículos rodoviários próprios, municipal",Baixo,Médio,Alto
49.29-9-04,"Organização de excursões em veículos rodoviários próprios, intermunicipal, interestadual e internacional",Baixo,Médio,Alto
49.29-9-99,Outros transportes rodoviários de passageiros não especificados anteriormente,Baixo,Médio,Alto
49.30-2-01,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal",Baixo,Médio,Alto
49.30-2-02,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Baixo,Médio,Alto
49.30-2-03,Transporte rodoviário de produtos perigosos,Alto,Alto,Alto
49.30-2-04,Transporte rodoviário de mudanças,Baixo,Médio,Alto
49.40-0-00,Transporte dutoviário,Alto,Alto,Alto
49.50-7-00,"Trens turísticos, teleféricos e similares",Alto,Alto,Alto
50.11-4-01,Transporte marítimo de cabotagem - Carga,Alto,Alto,Alto
50.11-4-02,Transporte marítimo de cabotagem - Passageiros,Alto,Alto,Alto
50.12-2-01,Transporte marítimo de longo curso - Carga,Alto,Alto,Alto
50.12-2-02,Transporte marítimo de longo curso - Passageiros,Alto,Alto,Alto
50.21-1-01,"Transporte por navegação interior de carga, municipal, exceto travessia",Alto,Alto,Alto
50.21-1-02,"Transporte por navegação interior de carga, intermunicipal, interestadual e internacional, exceto travessia",Alto,Alto,Alto
50.22-0-01,"Transporte por navegação interior de passageiros em linhas regulares, municipal, exceto travessia",Alto,Alto,Alto
50.22-0-02,"Transporte por navegação interior de passageiros em linhas regulares, intermunicipal, interestadual e internacional, exceto travessia",Alto,Alto,Alto
50.30-1-01,Navegação de apoio marítimo,Médio,Médio,Alto
50.30-1-02,Navegação de apoio portuário,Médio,Médio,Alto
50.30-1-03,Serviço de rebocadores e empurradores,Médio,Médio,Alto
50.91-2-01,"Transporte por navegação de travessia, municipal",Alto,Alto,Alto
50.91-2-02,"Transporte por navegação de travessia, intermunicipal, interestadual e internacional",Alto,Alto,Alto
50.99-8-01,Transporte aquaviário para passeios turísticos,Alto,Alto,Alto
50.99-8-99,Outros transportes aquaviários não especificados anteriormente,Alto,Alto,Alto
51.11-1-00,Transporte aéreo de passageiros regular,Alto,Alto,Alto
51.12-9-01,Serviço de táxi aéreo e locação de aeronaves com tripulação,Alto,Alto,Alto
51.12-9-99,Outros serviços de transporte aéreo de passageiros não regular,Alto,Alto,Alto
51.20-0-00,Transporte aéreo de carga,Alto,Alto,Alto
51.30-7-00,Transporte espacial,Alto,Alto,Alto
52.11-7-01,Armazéns gerais - emissão de warrant,Médio,Médio,Alto
52.11-7-02,Guarda-móveis,Médio,Médio,Alto
52.11-7-99,"Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis",Médio,Médio,Alto
52.12-5-00,Carga e descarga,Baixo,Médio,Alto
52.21-4-00,"Concessionárias de rodovias, pontes, túneis e serviços relacionados",Médio,Médio,Alto
52.22-2-00,Terminais rodoviários e ferroviários,Médio,Médio,Alto
52.23-1-00,Estacionamento de veículos,Médio,Médio,Alto
52.29-0-01,"Serviços de apoio ao transporte por táxi, inclusive centrais de chamada",Baixo,Médio,Alto
52.29-0-02,Serviços de reboque de veículos,Baixo,Médio,Alto
52.29-0-99,Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente,Baixo,Médio,Alto
52.31-1-01,Administração da infraestrutura portuária,Médio,Médio,Alto
52.31-1-02,Atividades do Operador Portuário,Médio,Médio,Alto
52.31-1-03,Gestão de terminais aquaviários,Médio,Médio,Alto
52.32-0-00,Atividades de agenciamento marítimo,Baixo,Médio,Alto
52.39-7-01,Serviços de praticagem,Baixo,Médio,Alto
52.39-7-99,Atividades auxiliares dos transportes aquaviários não especificadas anteriormente,Baixo,Médio,Alto
52.40-1-01,Operação dos aeroportos e campos de aterrissagem,Médio,Médio,Alto
52.40-1-99,"Atividades auxiliares dos transportes aéreos, exceto operação dos aeroportos e campos de aterrissagem",Baixo,Médio,Alto
52.50-8-01,Comissaria de despachos,Baixo,Médio,Alto
52.50-8-02,Atividades de despachantes aduaneiros,Baixo,Médio,Alto
52.50-8-03,"Agenciamento de cargas, exceto para o transporte marítimo",Baixo,Médio,Alto
52.50-8-04,Organização logística do transporte de carga,Baixo,Médio,Alto
52.50-8-05,Operador de transporte multimodal - OTM,Baixo,Médio,Alto
53.10-5-01,Atividades do Correio Nacional,Médio,Médio,Alto
53.10-5-02,Atividades de franqueadas e permissionárias do Correio Nacional,Baixo,Médio,Alto
53.20-2-01,Serviços de malote não realizados pelo Correio Nacional,Baixo,Médio,Alto
53.20-2-02,Serviços de entrega rápida,Baixo,Médio,Alto
55.10-8-01,Hotéis,Alto,Alto,Alto
55.10-8-02,Apart-hotéis,Alto,Alto,Alto
55.10-8-03,Motéis,Alto,Alto,Alto
55.90-6-01,"Albergues, exceto assistenciais",Alto,Alto,Alto
55.90-6-02,Campings,Alto,Alto,Alto
55.90-6-03,Pensões (alojamento),Alto,Alto,Alto
55.90-6-99,Outros alojamentos não especificados anteriormente,Alto,Alto,Alto
56.11-2-01,Restaurantes e similares,Alto,Alto,Alto
56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares",Médio,Médio,Alto
56.11-2-04,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",Médio,Médio,Alto
56.11-2-05,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",Alto,Alto,Alto
56.12-1-00,Serviços ambulantes de alimentação,Baixo,Médio,Alto
56.20-1-01,Fornecimento de alimentos preparados preponderantemente para empresas,Baixo,Médio,Alto
56.20-1-02,Serviços de alimentação para eventos e recepções - bufê,Baixo,Médio,Alto
56.20-1-03,Cantinas - serviços de alimentação privativos,Médio,Médio,Alto
56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,Baixo,Médio,Alto
58.11-5-00,Edição de livros,Baixo,Médio,Alto
58.12-3-01,Edição de jornais diários,Baixo,Médio,Alto
58.12-3-02,Edição de jornais não diários,Baixo,Médio,Alto
58.13-1-00,Edição de revistas,Baixo,Médio,Alto
58.19-1-00,"Edição de cadastros, listas e outros produtos gráficos",Baixo,Médio,Alto
58.21-2-00,Edição integrada à impressão de livros,Baixo,Médio,Alto
58.22-1-01,Edição integrada à impressão de jornais diários,Baixo,Médio,Alto
58.22-1-02,Edição integrada à impressão de jornais não diários,Baixo,Médio,Alto
58.23-9-00,Edição integrada à impressão de revistas,Baixo,Médio,Alto
58.29-8-00,"Edição integrada à impressão de cadastros, listas e outros produtos gráficos",Baixo,Médio,Alto
